algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppInstant,500,4,0.0644496,0,6.44531,58.7305,14158,0,0,0,0,2,0.045004,0.01943,1.5572e-05,ok,1
BBMSDppStepwise,500,4,0.0708757,0,6.44531,56.75,13667,0,0,0,0,2,0.049553,0.021308,1.4696e-05,ok,1
DijkstraPrims,500,4,0.000171912,0,6.44531,6.44531,26,0,0,0,0,0,0.000179,0,-7.088e-06,ok,1
BBMSCore,500,4,0.0519166,0,6.44531,9.24219,1472,0,0,0,0,1,0.051911,0,5.635e-06,ok,2
BBMSInter,500,4,0.0234711,0,6.44531,16.8633,3425,0,0,0,0,0,0.023477,0,-5.914e-06,ok,2
BBMSDppInstant,500,4,0.0638381,0,6.44531,58.7422,14158,0,0,0,0,2,0.044571,0.019239,2.8144e-05,ok,2
BBMSDppStepwise,500,4,0.0723733,0,6.44922,56.7422,13667,0,0,0,0,0,0.039768,0.032613,-7.72e-06,ok,2
DijkstraPrims,500,4,0.000174352,0,6.44922,6.44922,26,0,0,0,0,0,0.000182,0,-7.648e-06,ok,2
BBMSCore,830,0,0.22989,0,6.44922,19.3711,4050,0,0,0,0,1,0.229886,0,4.305e-06,ok,0
BBMSInter,830,0,0.0822181,0,6.44922,40.3672,9432,0,0,0,0,1,0.071661,0.010542,1.5145e-05,ok,0
BBMSDppInstant,830,0,0.198632,0,6.44922,155.801,39165,0,0,0,0,2,0.138395,0.060225,1.1577e-05,ok,0
BBMSDppStepwise,830,0,0.211289,0,6.44922,150.574,37846,0,0,0,0,2,0.19093,0.020323,3.6214e-05,ok,0
DijkstraPrims,830,0,0.000322099,0,6.44922,6.44922,45,0,0,0,0,0,0.000329,0,-6.901e-06,ok,0
BBMSCore,830,0,0.23084,0,6.44922,19.3672,4050,0,0,0,0,1,0.220706,0.010122,1.1521e-05,ok,1
BBMSInter,830,0,0.0813106,0,6.44922,40.3672,9432,0,0,0,0,1,0.062755,0.018545,1.059e-05,ok,1
BBMSDppInstant,830,0,0.197149,0,6.44922,155.832,39165,0,0,0,0,2,0.157267,0.039854,2.7618e-05,ok,1
BBMSDppStepwise,830,0,0.211168,0,6.44922,150.586,37846,0,0,0,0,2,0.129896,0.081248,2.4314e-05,ok,1
DijkstraPrims,830,0,0.000321425,0,6.45312,6.45312,45,0,0,0,0,0,0.000329,0,-7.575e-06,ok,1
BBMSCore,830,0,0.230661,0,6.45312,19.375,4050,0,0,0,0,1,0.230651,0,1.0251e-05,ok,2
BBMSInter,830,0,0.081515,0,6.45312,40.3555,9432,0,0,0,0,1,0.053619,0.027886,1e-05,ok,2
BBMSDppInstant,830,0,0.19663,0,6.45312,155.812,39165,0,0,0,0,3,0.166779,0.02981,4.0986e-05,ok,2
BBMSDppStepwise,830,0,0.210882,0,6.45312,150.57,37846,0,0,0,0,1,0.170296,0.040574,1.1871e-05,ok,2
DijkstraPrims,830,0,0.000308885,0,6.45312,6.45312,45,0,0,0,0,0,0.000316,0,-7.115e-06,ok,2
BBMSCore,830,1,0.189541,0,6.45703,19.375,4050,0,0,0,0,1,0.17941,0.010124,7.479e-06,ok,0
BBMSInter,830,1,0.0680315,0,6.45703,40.3672,9432,0,0,0,0,2,0.068021,0,1.0533e-05,ok,0
BBMSDppInstant,830,1,0.193276,0,6.45703,155.773,39166,0,0,0,0,1,0.166684,0.026571,2.1281e-05,ok,0
BBMSDppStepwise,830,1,0.209559,0,6.45703,150.535,37811,0,0,0,0,2,0.170879,0.038656,2.4298e-05,ok,0
DijkstraPrims,830,1,0.000305575,0,6.46094,6.46094,45,0,0,0,0,0,0.000313,0,-7.425e-06,ok,0
BBMSCore,830,1,0.189309,0,6.46094,19.3438,4050,0,0,0,0,1,0.17969,0.009608,1.0594e-05,ok,1
BBMSInter,830,1,0.0680127,0,6.46094,40.3672,9432,0,0,0,0,1,0.05789,0.010113,9.674e-06,ok,1
BBMSDppInstant,830,1,0.193938,0,6.46094,155.801,39166,0,0,0,0,2,0.162846,0.031074,1.7718e-05,ok,1
BBMSDppStepwise,830,1,0.210013,0,6.46094,150.539,37811,0,0,0,0,2,0.169437,0.040561,1.4633e-05,ok,1
DijkstraPrims,830,1,0.000312686,0,6.46484,6.46484,45,0,0,0,0,0,0.00032,0,-7.314e-06,ok,1
BBMSCore,830,1,0.190566,0,6.46484,19.3672,4050,0,0,0,0,1,0.190566,0,3.48e-07,ok,2
BBMSInter,830,1,0.0691729,0,6.46484,40.3672,9432,0,0,0,0,1,0.058883,0.010279,1.0934e-05,ok,2
BBMSDppInstant,830,1,0.196296,0,6.46484,155.805,39166,0,0,0,0,1,0.156455,0.039829,1.1851e-05,ok,2
BBMSDppStepwise,830,1,0.209382,0,6.46484,150.508,37811,0,0,0,0,1,0.164075,0.045304,3.395e-06,ok,2
DijkstraPrims,830,1,0.000309272,0,6.46484,6.46484,45,0,0,0,0,0,0.000317,0,-7.728e-06,ok,2
BBMSCore,830,2,0.208381,0,6.46484,19.2266,4050,0,0,0,0,2,0.198282,0.010098,1.275e-06,ok,0
BBMSInter,830,2,0.072907,0,6.46484,40.3672,9432,0,0,0,0,1,0.072902,0,5.011e-06,ok,0
BBMSDppInstant,830,2,0.19189,0,6.46484,155.578,39118,0,0,0,0,2,0.109558,0.082319,1.2653e-05,ok,0
BBMSDppStepwise,830,2,0.208861,0,6.46484,150.391,37803,0,0,0,0,1,0.17849,0.030373,-1.691e-06,ok,0
DijkstraPrims,830,2,0.000307977,0,6.46484,6.46484,45,0,0,0,0,0,0.000316,0,-8.023e-06,ok,0
BBMSCore,830,2,0.206515,0,6.46484,19.3398,4050,0,0,0,0,1,0.196507,0.010007,9.89e-07,ok,1
BBMSInter,830,2,0.0734987,0,6.46484,40.3672,9432,0,0,0,0,1,0.054213,0.019279,6.734e-06,ok,1
BBMSDppInstant,830,2,0.192102,0,6.46484,155.574,39118,0,0,0,0,1,0.140574,0.05152,7.635e-06,ok,1
BBMSDppStepwise,830,2,0.207073,0,6.46484,150.387,37803,0,0,0,0,2,0.146808,0.060243,2.223e-05,ok,1
DijkstraPrims,830,2,0.000307453,0,6.46484,6.46484,45,0,0,0,0,0,0.000315,0,-7.547e-06,ok,1
BBMSCore,830,2,0.206879,0,6.46484,19.3594,4050,0,0,0,0,2,0.206851,0,2.7522e-05,ok,2
BBMSInter,830,2,0.0734915,0,6.46875,40.375,9432,0,0,0,0,1,0.063837,0.009652,2.521e-06,ok,2
BBMSDppInstant,830,2,0.191566,0,6.46875,155.574,39118,0,0,0,0,1,0.123232,0.068324,1.0049e-05,ok,2
BBMSDppStepwise,830,2,0.207533,0,6.46875,150.398,37803,0,0,0,0,2,0.177331,0.03018,2.1617e-05,ok,2
DijkstraPrims,830,2,0.000315159,0,6.46875,6.46875,45,0,0,0,0,0,0.000322,0,-6.841e-06,ok,2
BBMSCore,830,3,0.192054,0,6.47266,19.3672,4050,0,0,0,0,2,0.18222,0.009825,8.696e-06,ok,0
BBMSInter,830,3,0.067563,0,6.47266,40.3594,9432,0,0,0,0,1,0.067555,0,7.968e-06,ok,0
BBMSDppInstant,830,3,0.19392,0,6.47266,155.801,39167,0,0,0,0,1,0.104641,0.089269,9.89e-06,ok,0
BBMSDppStepwise,830,3,0.209329,0,6.47266,150.43,37816,0,0,0,0,3,0.158335,0.050936,5.7878e-05,ok,0
DijkstraPrims,830,3,0.000308209,0,6.47266,6.47266,45,0,0,0,0,0,0.000315,0,-6.791e-06,ok,0
BBMSCore,830,3,0.191436,0,6.47266,19.3672,4050,0,0,0,0,1,0.191429,0,6.75e-06,ok,1
BBMSInter,830,3,0.0677006,0,6.47266,40.375,9432,0,0,0,0,1,0.057377,0.010313,1.0559e-05,ok,1
BBMSDppInstant,830,3,0.194558,0,6.47266,155.801,39167,0,0,0,0,1,0.154739,0.039808,1.0611e-05,ok,1
BBMSDppStepwise,830,3,0.20888,0,6.47266,150.438,37816,0,0,0,0,1,0.184362,0.024488,3.0045e-05,ok,1
DijkstraPrims,830,3,0.000311233,0,6.47266,6.47266,45,0,0,0,0,0,0.000319,0,-7.767e-06,ok,1
BBMSCore,830,3,0.194849,0,6.47656,19.3789,4050,0,0,0,0,3,0.184841,0.009966,4.2056e-05,ok,2
BBMSInter,830,3,0.0690265,0,6.47656,40.3672,9432,0,0,0,0,1,0.058508,0.010511,7.45e-06,ok,2
BBMSDppInstant,830,3,0.198155,0,6.47656,155.578,39167,0,0,0,0,0,0.149889,0.048277,-1.1161e-05,ok,2
BBMSDppStepwise,830,3,0.213959,0,6.47656,150.441,37816,0,0,0,0,0,0.164288,0.049681,-1.0436e-05,ok,2
DijkstraPrims,830,3,0.000306463,0,6.48047,6.48047,45,0,0,0,0,0,0.000315,0,-8.537e-06,ok,2
BBMSCore,830,4,0.218602,0,6.48047,19.375,4050,0,0,0,0,0,0.208434,0.010178,-9.746e-06,ok,0
BBMSInter,830,4,0.0757236,0,6.48047,40.3672,9432,0,0,0,0,1,0.075714,0,9.553e-06,ok,0
BBMSDppInstant,830,4,0.194695,0,6.48047,155.812,39166,0,0,0,0,2,0.154671,0.039994,2.9656e-05,ok,0
BBMSDppStepwise,830,4,0.211639,0,6.48438,150.367,37814,0,0,0,0,1,0.139293,0.072344,1.563e-06,ok,0
DijkstraPrims,830,4,0.000313726,0,6.48438,6.48438,45,0,0,0,0,0,0.000322,0,-8.274e-06,ok,0
BBMSCore,830,4,0.220697,0,6.48438,19.3633,4050,0,0,0,0,2,0.220689,0,8.261e-06,ok,1
BBMSInter,830,4,0.0760868,0,6.48438,40.375,9432,0,0,0,0,1,0.055721,0.020356,9.85e-06,ok,1
BBMSDppInstant,830,4,0.195857,0,6.48438,155.812,39166,0,0,0,0,1,0.145545,0.050304,7.915e-06,ok,1
BBMSDppStepwise,830,4,0.21065,0,6.48438,150.484,37814,0,0,0,0,1,0.169499,0.041147,4.385e-06,ok,1
DijkstraPrims,830,4,0.000314344,0,6.48438,6.48438,45,0,0,0,0,0,0.000322,0,-7.656e-06,ok,1
BBMSCore,830,4,0.217228,0,6.48438,19.3672,4050,0,0,0,0,3,0.217199,0,2.9112e-05,ok,2
BBMSInter,830,4,0.0776002,0,6.48438,40.375,9432,0,0,0,0,1,0.068392,0.009204,4.215e-06,ok,2
BBMSDppInstant,830,4,0.195789,0,6.48438,155.809,39166,0,0,0,0,1,0.145513,0.050265,1.1044e-05,ok,2
BBMSDppStepwise,830,4,0.210625,0,6.48438,150.469,37814,0,0,0,0,1,0.16152,0.049093,1.1606e-05,ok,2
DijkstraPrims,830,4,0.000311563,0,6.48438,6.48438,45,0,0,0,0,0,0.000319,0,-7.437e-06,ok,2
BBMSCore,1400,0,1.02683,0,6.48828,48.4922,11500,0,0,0,0,6,1.01667,0.010091,6.9933e-05,ok,0
BBMSInter,1400,0,0.301738,0,6.48828,108.242,26812,0,0,0,0,2,0.271281,0.030446,1.1361e-05,ok,0
BBMSDppInstant,1400,0,0.602105,0,6.48828,437.141,111418,0,0,0,0,2,0.502805,0.099141,0.000159451,ok,0
BBMSDppStepwise,1400,0,0.633346,0,6.49219,421.645,107447,0,0,0,0,2,0.524016,0.109312,1.8209e-05,ok,0
DijkstraPrims,1400,0,0.000471006,0,6.49219,6.49219,69,0,0,0,0,0,0.000478,0,-6.994e-06,ok,0
BBMSCore,1400,0,1.02866,0,6.49219,48.4922,11500,0,0,0,0,5,1.01843,0.01001,0.000224769,ok,1
BBMSInter,1400,0,0.300727,0,6.49219,108.238,26812,0,0,0,0,1,0.280499,0.020229,-1.316e-06,ok,1
BBMSDppInstant,1400,0,0.607942,0,6.49219,437.141,111418,0,0,0,0,2,0.487808,0.120131,3.423e-06,ok,1
