algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppInstant,6,65,59,3835,0.000767579,30,41.0352,41.0352,219,0,0,0,0,0,0.000773,0,-5.421e-06,ok,1
BBMSDppStepwise,6,65,59,3835,0.000828883,30,41.0352,41.0352,212,0,0,0,0,0,0,0.000835,-6.117e-06,ok,1
DijkstraPrims,6,65,59,3835,0.000127517,30,41.0352,41.0352,14,0,0,0,0,0,0.000133,0,-5.483e-06,ok,1
BBMSCore,6,65,59,3835,0.000242586,30,41.0352,41.0352,25,0,0,0,0,0,0.000248,0,-5.414e-06,ok,2
BBMSInter,6,65,59,3835,0.00027351,30,41.0352,41.0352,55,0,0,0,0,0,0.000278,0,-4.49e-06,ok,2
BBMSDppInstant,6,65,59,3835,0.000761317,30,41.0352,41.0352,219,0,0,0,0,0,0.000766,0,-4.683e-06,ok,2
BBMSDppStepwise,6,65,59,3835,0.000841022,30,41.0352,41.0352,212,0,0,0,0,0,0.000847,0,-5.978e-06,ok,2
DijkstraPrims,6,65,59,3835,0.000131158,30,41.0352,41.0352,14,0,0,0,0,0,0.000136,0,-4.842e-06,ok,2
BBMSCore,7,65,59,3835,0.000242061,30,41.0391,41.0391,25,0,0,0,0,0,0.000247,0,-4.939e-06,ok,0
BBMSInter,7,65,59,3835,0.000248805,30,41.0391,41.0391,55,0,0,0,0,0,0.000254,0,-5.195e-06,ok,0
BBMSDppInstant,7,65,59,3835,0.00076113,30,41.0391,41.0391,220,0,0,0,0,0,0,0.000766,-4.87e-06,ok,0
BBMSDppStepwise,7,65,59,3835,0.000842191,30,41.0391,41.0391,212,0,0,0,0,0,0.000847,0,-4.809e-06,ok,0
DijkstraPrims,7,65,59,3835,8.6072e-05,30,41.043,41.043,11,0,0,0,0,0,9.1e-05,0,-4.928e-06,ok,0
BBMSCore,7,65,59,3835,0.000372535,30,41.043,41.043,25,0,0,0,0,1,0.000309,0,6.3535e-05,ok,1
BBMSInter,7,65,59,3835,0.000245958,30,41.043,41.043,55,0,0,0,0,0,0.000251,0,-5.042e-06,ok,1
BBMSDppInstant,7,65,59,3835,0.000766776,30,41.043,41.043,220,0,0,0,0,0,0.000771,0,-4.224e-06,ok,1
BBMSDppStepwise,7,65,59,3835,0.000860464,30,41.043,41.043,212,0,0,0,0,0,0.000866,0,-5.536e-06,ok,1
DijkstraPrims,7,65,59,3835,8.88e-05,30,41.043,41.043,11,0,0,0,0,0,0,9.4e-05,-5.2e-06,ok,1
BBMSCore,7,65,59,3835,0.000242752,30,41.043,41.043,25,0,0,0,0,0,0.000248,0,-5.248e-06,ok,2
