algorithm,pair_index,m,n,cells,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,max_heap_size,avg_heap_size,cells_processed,pct_cells_explored,status
DijkstraPrims,25,6833,1227,8384091,20574.9,0,0,0,0,0,0,0,52123,44007,8252,6822.65,44007,0.524887,ok
DijkstraPrims,26,16688,53741,896829808,33644.7,0,0,0,0,0,0,0,313683952,313591378,128675,72332.1,313591378,34.9667,ok
BBMSInter,27,16688,4385,73176880,5110.62,113914346,3431259370,3545173716,146317602,0,0,0,0,0,0,-1,73176880,100,ok
BBMSDppInstant,27,16688,4385,73176880,5110.62,113914346,341218528,455132874,146317602,1005314,161627520,1005314,0,0,0,-1,73176880,100,ok
BBMSDppStepwise,27,16688,4385,73176880,5110.62,113914346,341218528,455132874,146317602,1005314,73074353,71497000,0,0,0,-1,73176880,100,ok
DijkstraPrims,27,16688,4385,73176880,5110.62,0,0,0,0,0,0,0,60089333,60067338,117197,91460.7,60067338,82.0851,ok
BBMSInter,28,16688,14488,241775744,20760.1,471076226,6656051898,7127128124,483492368,0,0,0,0,0,0,-1,241775744,100,ok
BBMSDppInstant,28,16688,14488,241775744,20760.1,471076226,985597618,1456673844,483492368,2019449,276936937,2019449,0,0,0,-1,241775744,100,ok
DijkstraPrims,28,16688,14488,241775744,20760.1,0,0,0,0,0,0,0,915190,857578,57700,26876.9,857578,0.3547,ok
BBMSInter,29,16688,1227,20476176,2594.13,11298670,1655195356,1666494026,40919369,0,0,0,0,0,0,-1,20476176,100,ok
BBMSDppInstant,29,16688,1227,20476176,2594.13,11298670,126259288,137557958,40919369,525361,271745971,525361,0,0,0,-1,20476176,100,ok
BBMSDppStepwise,29,16688,1227,20476176,2594.13,11298670,126259288,137557958,40919369,525361,20684835,18632225,0,0,0,-1,20476176,100,ok
DijkstraPrims,29,16688,1227,20476176,2594.13,0,0,0,0,0,0,0,7438247,7419925,57013,23304.3,7419925,36.2369,ok
BBMSDppInstant,30,53741,4385,235654285,33415.8,383494054,1073931464,1457425518,471201603,4046236,476868338,4046236,0,0,0,-1,235654285,100,ok
BBMSDppStepwise,30,53741,4385,235654285,33415.8,383494054,1073931464,1457425518,471201603,4046236,228743706,221962034,0,0,0,-1,235654285,100,ok
DijkstraPrims,30,53741,4385,235654285,33415.8,0,0,0,0,0,0,0,114481060,114401584,104641,48939.7,114401584,48.5464,ok
DijkstraPrims,31,53741,14488,778599608,44687.1,0,0,0,0,0,0,0,185767248,185726999,66291,34923.4,185726999,23.854,ok
BBMSDppInstant,32,53741,1227,65940207,34280.1,45682384,392672720,438355104,131821510,2034154,772312514,2034154,0,0,0,-1,65940207,100,ok
BBMSDppStepwise,32,53741,1227,65940207,34280.1,45682384,392672720,438355104,131821510,2034154,68110881,60667414,0,0,0,-1,65940207,100,ok
DijkstraPrims,32,53741,1227,65940207,34280.1,0,0,0,0,0,0,0,19965959,19917624,52692,11047.4,19917624,30.2056,ok
BBMSInter,33,4385,14488,63529880,20819.7,123108896,2356850516,2479959412,127026848,0,0,0,0,0,0,-1,63529880,100,ok
BBMSDppInstant,33,4385,14488,63529880,20819.7,123108896,259913691,383022587,127026848,1021190,77657126,1021190,0,0,0,-1,63529880,100,ok
BBMSDppStepwise,33,4385,14488,63529880,20819.7,123108896,259913691,383022587,127026848,1021190,61558967,60486987,0,0,0,-1,63529880,100,ok
DijkstraPrims,33,4385,14488,63529880,20819.7,0,0,0,0,0,0,0,6691874,6653573,47656,41371.1,6653573,10.4731,ok
BBMSCore,34,4385,1227,5380395,4027.67,6609305118,0,6609305118,0,0,0,0,0,0,0,-1,5380395,100,ok
BBMSInter,34,4385,1227,5380395,4027.67,3709944,165652551,169362495,10751709,0,0,0,0,0,0,-1,5380395,100,ok
BBMSDppInstant,34,4385,1227,5380395,4027.67,3709944,32058276,35768220,10751709,194339,159502512,194339,0,0,0,-1,5380395,100,ok
BBMSDppStepwise,34,4385,1227,5380395,4027.67,3709944,32058276,35768220,10751709,194339,5832372,4594167,0,0,0,-1,5380395,100,ok
DijkstraPrims,34,4385,1227,5380395,4027.67,0,0,0,0,0,0,0,2005201,1999055,13278,5840.79,1999055,37.1544,ok
BBMSInter,35,14488,1227,17776776,20601.9,29606376,1116508578,1146114954,35537687,0,0,0,0,0,0,-1,17776776,100,ok
BBMSDppInstant,35,14488,1227,17776776,20601.9,29606376,79917849,109524225,35537687,426109,8277618,426109,0,0,0,-1,17776776,100,ok
BBMSDppStepwise,35,14488,1227,17776776,20601.9,29606376,79917849,109524225,35537687,426109,5439499,4944250,0,0,0,-1,17776776,100,ok
DijkstraPrims,35,14488,1227,17776776,20601.9,0,0,0,0,0,0,0,364993,348125,16932,12468.3,348125,1.95831,ok
