algorithm,pair_index,m,n,cells,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSInter,7,1321,1170,1545570,0.278106,1.06349e+07,53.6602,86.2344,21161,0,0,0,0,2,0.248235,0.029844,2.7233e-05,ok,0
BBMSDppInstant,7,1321,1170,1545570,0.351534,1.06349e+07,53.6602,337.723,85961,0,0,0,0,3,0.271093,0.080403,3.7727e-05,ok,0
BBMSDppStepwise,7,1321,1170,1545570,0.473124,1.06349e+07,53.6602,320.773,81589,0,0,0,0,2,0.40261,0.070484,2.9553e-05,ok,0
DijkstraPrims,7,1321,1170,1545570,0.136671,1.06349e+07,53.6602,53.6602,11435,0,0,0,0,1,0.126165,0.010491,1.5497e-05,ok,0
BBMSCore,7,1321,1170,1545570,1.54647,1.06349e+07,53.6602,53.6602,9087,0,0,0,0,7,1.52669,0.019576,0.000205476,ok,1
BBMSInter,7,1321,1170,1545570,0.277889,1.06349e+07,53.6602,86.2422,21161,0,0,0,0,2,0.248053,0.029811,2.5073e-05,ok,1
BBMSDppInstant,7,1321,1170,1545570,0.351431,1.06349e+07,53.6602,337.742,85961,0,0,0,0,1,0.220838,0.130586,7.38e-06,ok,1
BBMSDppStepwise,7,1321,1170,1545570,0.474858,1.06349e+07,53.6602,320.758,81589,0,0,0,0,3,0.393976,0.080839,4.3063e-05,ok,1
DijkstraPrims,7,1321,1170,1545570,0.137428,1.06349e+07,53.6602,53.6602,11435,0,0,0,0,1,0.117734,0.01968,1.4289e-05,ok,1
BBMSCore,7,1321,1170,1545570,1.54839,1.06349e+07,53.6602,53.6602,9087,0,0,0,0,4,1.53824,0.00999,0.000165032,ok,2
BBMSInter,7,1321,1170,1545570,0.276707,1.06349e+07,53.6602,86.2344,21161,0,0,0,0,4,0.246972,0.029685,5.0363e-05,ok,2
BBMSDppInstant,7,1321,1170,1545570,0.353349,1.06349e+07,53.6602,337.734,85961,0,0,0,0,1,0.232169,0.121166,1.3588e-05,ok,2
BBMSDppStepwise,7,1321,1170,1545570,0.476064,1.06349e+07,53.6602,320.785,81589,0,0,0,0,3,0.394982,0.081037,4.5437e-05,ok,2
DijkstraPrims,7,1321,1170,1545570,0.138242,1.06349e+07,53.6602,53.6602,11435,0,0,0,0,2,0.118408,0.019798,3.5983e-05,ok,2
BBMSCore,8,1321,1172,1548212,2.05545,1.09329e+07,53.6602,53.6602,9102,0,0,0,0,11,2.03509,0.019965,0.000391131,ok,0
BBMSInter,8,1321,1172,1548212,0.586563,1.09329e+07,53.6602,86.2461,21197,0,0,0,0,2,0.556143,0.030408,1.1825e-05,ok,0
BBMSDppInstant,8,1321,1172,1548212,0.372314,1.09329e+07,53.6602,338.129,86312,0,0,0,0,2,0.200652,0.171643,1.8883e-05,ok,0
BBMSDppStepwise,8,1321,1172,1548212,0.494435,1.09329e+07,53.6602,321.664,81814,0,0,0,0,1,0.403401,0.091017,1.6844e-05,ok,0
DijkstraPrims,8,1321,1172,1548212,0.134723,1.09329e+07,53.6602,53.6602,11314,0,0,0,0,1,0.124289,0.010425,9.394e-06,ok,0
BBMSCore,8,1321,1172,1548212,2.05549,1.09329e+07,53.6602,53.6602,9102,0,0,0,0,8,2.04535,0.009984,0.000165249,ok,1
BBMSInter,8,1321,1172,1548212,0.585535,1.09329e+07,53.6602,86.3711,21197,0,0,0,0,4,0.555643,0.029844,4.8012e-05,ok,1
BBMSDppInstant,8,1321,1172,1548212,0.376177,1.09329e+07,53.6602,338.109,86312,0,0,0,0,2,0.246924,0.129223,3.0146e-05,ok,1
BBMSDppStepwise,8,1321,1172,1548212,0.497011,1.09329e+07,53.6602,321.672,81814,0,0,0,0,3,0.363141,0.133847,2.3207e-05,ok,1
DijkstraPrims,8,1321,1172,1548212,0.136633,1.09329e+07,53.6602,53.6602,11314,0,0,0,0,1,0.10703,0.029594,8.864e-06,ok,1
BBMSCore,8,1321,1172,1548212,2.06182,1.09329e+07,53.6602,53.6602,9102,0,0,0,0,9,2.05151,0.010014,0.000298825,ok,2
BBMSInter,8,1321,1172,1548212,0.584677,1.09329e+07,53.6602,86.3711,21197,0,0,0,0,4,0.554844,0.029801,3.1712e-05,ok,2
BBMSDppInstant,8,1321,1172,1548212,0.373432,1.09329e+07,53.6602,338.129,86312,0,0,0,0,2,0.28229,0.091106,3.5761e-05,ok,2
BBMSDppStepwise,8,1321,1172,1548212,0.495118,1.09329e+07,53.6602,321.641,81814,0,0,0,0,4,0.385864,0.109203,5.0505e-05,ok,2
DijkstraPrims,8,1321,1172,1548212,0.135364,1.09329e+07,53.6602,53.6602,11314,0,0,0,0,0,0.115806,0.019569,-1.1285e-05,ok,2
BBMSCore,9,1321,262,346102,0.0958658,1.89587e+06,53.6602,53.6602,2038,0,0,0,0,2,0.095844,0,2.1755e-05,ok,0
BBMSInter,9,1321,262,346102,0.0264617,1.89587e+06,53.6602,53.6602,4742,0,0,0,0,0,0.026471,0,-9.272e-06,ok,0
BBMSDppInstant,9,1321,262,346102,0.0700577,1.89587e+06,53.6602,78.6836,19314,0,0,0,0,1,0.057811,0.012244,2.74e-06,ok,0
BBMSDppStepwise,9,1321,262,346102,0.0771666,1.89587e+06,53.6602,76.6133,18763,0,0,0,0,1,0.067247,0.009903,1.657e-05,ok,0
DijkstraPrims,9,1321,262,346102,0.0179855,1.89587e+06,53.6602,53.6602,1505,0,0,0,0,0,0.017995,0,-9.514e-06,ok,0
BBMSCore,9,1321,262,346102,0.0957106,1.89587e+06,53.6602,53.6602,2038,0,0,0,0,2,0.095679,0,3.1601e-05,ok,1
BBMSInter,9,1321,262,346102,0.0260685,1.89587e+06,53.6602,53.6602,4742,0,0,0,0,0,0.016613,0.009465,-9.481e-06,ok,1
BBMSDppInstant,9,1321,262,346102,0.0698992,1.89587e+06,53.6602,78.6562,19314,0,0,0,0,2,0.049397,0.020463,3.9152e-05,ok,1
BBMSDppStepwise,9,1321,262,346102,0.0770085,1.89587e+06,53.6602,76.625,18763,0,0,0,0,1,0.057186,0.01981,1.2472e-05,ok,1
DijkstraPrims,9,1321,262,346102,0.0180458,1.89587e+06,53.6602,53.6602,1505,0,0,0,0,0,0.018055,0,-9.15e-06,ok,1
BBMSCore,9,1321,262,346102,0.0956341,1.89587e+06,53.6602,53.6602,2038,0,0,0,0,2,0.095602,0,3.2112e-05,ok,2
BBMSInter,9,1321,262,346102,0.0262389,1.89587e+06,53.6602,53.6602,4742,0,0,0,0,0,0.016715,0.009533,-9.143e-06,ok,2
BBMSDppInstant,9,1321,262,346102,0.0714264,1.89587e+06,53.6602,78.668,19314,0,0,0,0,2,0.040168,0.03121,4.8429e-05,ok,2
BBMSDppStepwise,9,1321,262,346102,0.0774265,1.89587e+06,53.6602,76.6055,18763,0,0,0,0,2,0.053606,0.023808,1.2455e-05,ok,2
DijkstraPrims,9,1321,262,346102,0.0178502,1.89587e+06,53.6602,53.6602,1505,0,0,0,0,0,0.007917,0.009942,-8.758e-06,ok,2
BBMSCore,10,1321,24,31704,0.00143305,9.85963e+06,53.6602,53.6602,195,0,0,0,0,0,0.001441,0,-7.945e-06,ok,0
BBMSInter,10,1321,24,31704,0.0013224,9.85963e+06,53.6602,53.6602,443,0,0,0,0,0,0.001329,0,-6.603e-06,ok,0
BBMSDppInstant,10,1321,24,31704,0.00525573,9.85963e+06,53.6602,53.6602,1704,0,0,0,0,0,0.005262,0,-6.274e-06,ok,0
BBMSDppStepwise,10,1321,24,31704,0.00548457,9.85963e+06,53.6602,53.6602,1659,0,0,0,0,0,0,0.005491,-6.434e-06,ok,0
DijkstraPrims,10,1321,24,31704,0.00434571,9.85963e+06,53.6602,53.6602,380,0,0,0,0,0,0.004352,0,-6.293e-06,ok,0
BBMSCore,10,1321,24,31704,0.0014039,9.85963e+06,53.6602,53.6602,195,0,0,0,0,0,0.00141,0,-6.097e-06,ok,1
BBMSInter,10,1321,24,31704,0.00132765,9.85963e+06,53.6602,53.6602,443,0,0,0,0,0,0.001333,0,-5.348e-06,ok,1
BBMSDppInstant,10,1321,24,31704,0.00527795,9.85963e+06,53.6602,53.6602,1704,0,0,0,0,0,0.005284,0,-6.05e-06,ok,1
