algorithm,N,sample,runtime_s,frechet_dist,ok
BBMSInter,15000,0,97.6448,1000.49,True
BBMSInter,15000,1,97.2937,999.344,True
BBMSInter,15000,2,88.246,999.369,True
BBMSDppStepwise,15000,0,132.155,1000.49,True
BBMSDppStepwise,15000,1,139.24,999.344,True
BBMSDppStepwise,15000,2,141.113,999.369,True
BBMSCore,15000,0,393.462,1000.49,True
BBMSCore,15000,1,395.644,999.344,True
BBMSCore,15000,2,420.744,999.369,True
BBMSDppInstant,15000,0,162.393,1000.49,True
BBMSDppInstant,15000,1,171.017,999.344,True
BBMSDppInstant,15000,2,167.159,999.369,True
DijkstraPrims,16000,0,60.3458,999.481,True
DijkstraPrims,16000,1,59.6295,999.264,True
DijkstraPrims,16000,2,59.7325,999.292,True
BBMSInter,16000,0,84.4954,999.481,True
BBMSInter,16000,1,125.85,999.264,True
BBMSInter,16000,2,130.296,999.292,True
BBMSDppStepwise,16000,0,182.85,999.481,True
BBMSDppStepwise,16000,1,183.076,999.264,True
BBMSDppStepwise,16000,2,182.95,999.292,True
BBMSDppInstant,16000,0,193.809,999.481,True
BBMSDppInstant,16000,1,202.903,999.264,True
BBMSDppInstant,16000,2,190.609,999.292,True
DijkstraPrims,17000,0,62.5629,999.106,True
DijkstraPrims,17000,1,62.6522,1000.09,True
DijkstraPrims,17000,2,62.9388,999.481,True
BBMSInter,17000,0,80.8501,999.106,True
BBMSInter,17000,1,123.631,1000.09,True
BBMSInter,17000,2,105.795,999.481,True
BBMSDppStepwise,17000,0,210.193,999.106,True
BBMSDppStepwise,17000,1,213.114,1000.09,True
BBMSDppStepwise,17000,2,207.473,999.481,True
BBMSCore,17000,0,429.114,999.106,True
BBMSCore,17000,1,529.422,1000.09,True
BBMSCore,17000,2,486.112,999.481,True
BBMSDppInstant,17000,0,227.692,999.106,True
BBMSDppInstant,17000,1,229.725,1000.09,True
BBMSDppInstant,17000,2,226.764,999.481,True
DijkstraPrims,18000,0,71.5323,999.583,True
DijkstraPrims,18000,1,71.0828,999.064,True
DijkstraPrims,18000,2,71.5965,999.589,True
BBMSInter,18000,0,156.569,999.583,True
BBMSInter,18000,1,132.403,999.064,True
BBMSInter,18000,2,105.121,999.589,True
BBMSDppStepwise,18000,0,248.863,999.583,True
BBMSDppStepwise,18000,1,247.221,999.064,True
BBMSDppStepwise,18000,2,245.093,999.589,True
BBMSCore,18000,0,665.115,999.583,True
BBMSCore,18000,1,598.357,999.064,True
BBMSCore,18000,2,664.921,999.589,True
BBMSDppInstant,18000,0,269.658,999.583,True
BBMSDppInstant,18000,1,270.354,999.064,True
BBMSDppInstant,18000,2,272.353,999.589,True
DijkstraPrims,19000,0,88.8212,1000.42,True
DijkstraPrims,19000,1,89.2137,1000.17,True
DijkstraPrims,19000,2,88.8889,999.261,True
BBMSInter,19000,0,135.319,1000.42,True
BBMSInter,19000,1,222.552,1000.17,True
BBMSInter,19000,2,147.996,999.261,True
BBMSDppStepwise,19000,0,314.423,1000.42,True
BBMSDppStepwise,19000,1,298.849,1000.17,True
BBMSDppStepwise,19000,2,303.573,999.261,True
BBMSCore,19000,0,673.571,1000.42,True
BBMSCore,19000,1,812.855,1000.17,True
BBMSCore,19000,2,690.593,999.261,True
BBMSDppInstant,19000,0,318.421,1000.42,True
BBMSDppInstant,19000,1,320.858,1000.17,True
BBMSDppInstant,19000,2,319.468,999.261,True
DijkstraPrims,20000,0,99.0445,1000.1,True
DijkstraPrims,20000,1,98.4152,999.995,True
DijkstraPrims,20000,2,90.3634,999.387,True
BBMSInter,20000,0,191.441,1000.1,True
BBMSInter,20000,1,192.405,999.995,True
BBMSInter,20000,2,181.265,999.387,True
BBMSDppStepwise,20000,0,349.218,1000.1,True
BBMSDppStepwise,20000,1,360.929,999.995,True
BBMSDppStepwise,20000,2,344.781,999.387,True
BBMSCore,20000,0,799.664,1000.1,True
BBMSCore,20000,1,725.394,999.995,True
BBMSCore,20000,2,753.42,999.387,True
BBMSDppInstant,20000,0,376.115,1000.1,True
BBMSDppInstant,20000,1,370.077,999.995,True
BBMSDppInstant,20000,2,374.552,999.387,True
DijkstraPrims,21000,0,100.959,1000.01,True
DijkstraPrims,21000,1,100.457,1000.58,True
DijkstraPrims,21000,2,100.495,999.801,True
BBMSInter,21000,0,145.773,1000.01,True
BBMSInter,21000,1,210.351,1000.58,True
BBMSInter,21000,2,231.947,999.801,True
BBMSDppStepwise,21000,0,416.333,1000.01,True
BBMSDppStepwise,21000,1,408.442,1000.58,True
BBMSDppStepwise,21000,2,397.875,999.801,True
BBMSCore,21000,0,801.162,1000.01,True
DijkstraPrims,1000,3,0.0944,1000.25,True
DijkstraPrims,1000,4,0.094759,1000.68,True
DijkstraPrims,1000,5,0.095142,999.195,True
DijkstraPrims,1000,6,0.093871,999.916,True
DijkstraPrims,1000,7,0.094534,1000.21,True
DijkstraPrims,1000,8,0.094109,1000.68,True
DijkstraPrims,1000,9,0.095225,999.152,True
BBMSInter,1000,3,0.080884,1000.25,True
BBMSInter,1000,4,0.077334,1000.68,True
BBMSInter,1000,5,0.065542,999.195,True
BBMSInter,1000,6,0.077486,999.916,True
BBMSInter,1000,7,0.068818,1000.21,True
BBMSInter,1000,8,0.074732,1000.68,True
BBMSInter,1000,9,0.069819,999.152,True
BBMSDppStepwise,1000,3,0.17449,1000.25,True
BBMSDppStepwise,1000,4,0.174105,1000.68,True
BBMSDppStepwise,1000,5,0.17359,999.195,True
BBMSDppStepwise,1000,6,0.17558,999.916,True
BBMSDppStepwise,1000,7,0.17348,1000.21,True
BBMSDppStepwise,1000,8,0.175731,1000.68,True
BBMSDppStepwise,1000,9,0.174878,999.152,True
BBMSCore,1000,3,0.193501,1000.25,True
BBMSCore,1000,4,0.186663,1000.68,True
BBMSCore,1000,5,0.157767,999.195,True
BBMSCore,1000,6,0.182169,999.916,True
BBMSCore,1000,7,0.172621,1000.21,True
BBMSCore,1000,8,0.182304,1000.68,True
BBMSCore,1000,9,0.16503,999.152,True
BBMSDppInstant,1000,3,0.14896,1000.25,True
BBMSDppInstant,1000,4,0.149901,1000.68,True
BBMSDppInstant,1000,5,0.147672,999.195,True
BBMSDppInstant,1000,6,0.148814,999.916,True
BBMSDppInstant,1000,7,0.148729,1000.21,True
BBMSDppInstant,1000,8,0.149433,1000.68,True
BBMSDppInstant,1000,9,0.148611,999.152,True
DijkstraPrims,2000,3,0.425239,999.994,True
DijkstraPrims,2000,4,0.418823,1000.41,True
DijkstraPrims,2000,5,0.428568,1000.42,True
DijkstraPrims,2000,6,0.421689,1000.19,True
DijkstraPrims,2000,7,0.421621,1000.34,True
DijkstraPrims,2000,8,0.420367,999.319,True
DijkstraPrims,2000,9,0.42088,1000.07,True
BBMSInter,2000,3,0.302392,999.994,True
BBMSInter,2000,4,0.318502,1000.41,True
BBMSInter,2000,5,0.322485,1000.42,True
BBMSInter,2000,6,0.332676,1000.19,True
BBMSInter,2000,7,0.382645,1000.34,True
BBMSInter,2000,8,0.361014,999.319,True
BBMSInter,2000,9,0.338832,1000.07,True
BBMSDppStepwise,2000,3,0.742876,999.994,True
BBMSDppStepwise,2000,4,0.758298,1000.41,True
BBMSDppStepwise,2000,5,0.746995,1000.42,True
BBMSDppStepwise,2000,6,0.745782,1000.19,True
BBMSDppStepwise,2000,7,0.749786,1000.34,True
BBMSDppStepwise,2000,8,0.754155,999.319,True
BBMSDppStepwise,2000,9,0.744521,1000.07,True
BBMSCore,2000,3,0.930095,999.994,True
BBMSCore,2000,4,1.08255,1000.41,True
BBMSCore,2000,5,1.00949,1000.42,True
BBMSCore,2000,6,0.946306,1000.19,True
BBMSCore,2000,7,0.977339,1000.34,True
BBMSCore,2000,8,0.995903,999.319,True
BBMSCore,2000,9,0.889487,1000.07,True
BBMSDppInstant,2000,3,0.646069,999.994,True
BBMSDppInstant,2000,4,0.679634,1000.41,True
BBMSDppInstant,2000,5,0.687842,1000.42,True
BBMSDppInstant,2000,6,0.656995,1000.19,True
BBMSDppInstant,2000,7,0.649394,1000.34,True
BBMSDppInstant,2000,8,0.649816,999.319,True
BBMSDppInstant,2000,9,0.64447,1000.07,True
DijkstraPrims,3000,3,1.10067,999.262,True
DijkstraPrims,3000,4,1.11152,999.288,True
DijkstraPrims,3000,5,1.1124,999.215,True
DijkstraPrims,3000,6,1.10047,1000.63,True
DijkstraPrims,3000,7,1.10965,999.218,True
DijkstraPrims,3000,8,1.17835,999.64,True
DijkstraPrims,3000,9,1.17779,999.831,True
BBMSInter,3000,3,0.680323,999.262,True
BBMSInter,3000,4,0.83982,999.288,True
BBMSInter,3000,5,0.829756,999.215,True
BBMSInter,3000,6,0.74403,1000.63,True
BBMSInter,3000,7,0.708673,999.218,True
BBMSInter,3000,8,0.780886,999.64,True
BBMSInter,3000,9,0.779478,999.831,True
BBMSDppStepwise,3000,3,1.74346,999.262,True
BBMSDppStepwise,3000,4,1.77059,999.288,True
BBMSDppStepwise,3000,5,1.8965,999.215,True
BBMSDppStepwise,3000,6,1.76255,1000.63,True
BBMSDppStepwise,3000,7,1.77191,999.218,True
BBMSDppStepwise,3000,8,1.74417,999.64,True
BBMSDppStepwise,3000,9,1.77369,999.831,True
BBMSCore,3000,3,2.47754,999.262,True
