algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
BBMSCore,6500,1,0,9255916472,0,9255916472,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,1,0,52328764,1024982130,1077310894,84482932,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,1,0,52328764,213450610,265779374,84482932,17565756,65517442,17565756,0,0,42250000,100,ok
BBMSDppStepwise,6500,1,0,52328764,213450610,265779374,84482932,17565756,50274904,41649506,0,0,42250000,100,ok
DijkstraPrims,6500,1,0,0,0,0,0,0,0,0,19498,6500,6500,0.0153846,ok
BBMSCore,6500,2,0,9189815868,0,9189815868,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,2,0,52518780,1011313856,1063832636,84484110,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,2,0,52518780,213194336,265713116,84484110,17470936,65568118,17470936,0,0,42250000,100,ok
BBMSDppStepwise,6500,2,0,52518780,213194336,265713116,84484110,17470936,50210036,41580046,0,0,42250000,100,ok
DijkstraPrims,6500,2,0,0,0,0,0,0,0,0,19498,6500,6500,0.0153846,ok
BBMSCore,6500,3,0,9537869484,0,9537869484,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,3,0,52535164,973544640,1026079804,84484874,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,3,0,52535164,213148580,265683744,84484874,17476198,65869234,17476198,0,0,42250000,100,ok
BBMSDppStepwise,6500,3,0,52535164,213148580,265683744,84484874,17476198,50155860,41606714,0,0,42250000,100,ok
DijkstraPrims,6500,3,0,0,0,0,0,0,0,0,19498,6500,6500,0.0153846,ok
BBMSCore,6500,4,0,10069018304,0,10069018304,0,0,0,0,0,0,42250000,100,ok
BBMSInter,6500,4,0,52489772,1126755846,1179245618,84483296,0,0,0,0,0,42250000,100,ok
BBMSDppInstant,6500,4,0,52489772,213236416,265726188,84483296,17517648,65665744,17517648,0,0,42250000,100,ok
BBMSDppStepwise,6500,4,0,52489772,213236416,265726188,84483296,17517648,50253610,41622112,0,0,42250000,100,ok
DijkstraPrims,6500,4,0,0,0,0,0,0,0,0,19498,6500,6500,0.0153846,ok
BBMSInter,11000,0,0,150160192,3718301974,3868462166,241975038,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,0,0,150160192,610847404,761007596,241975038,50352242,192471276,50352242,0,0,121000000,100,ok
BBMSDppStepwise,11000,0,0,150160192,610847404,761007596,241975038,50352242,144260210,119673600,0,0,121000000,100,ok
DijkstraPrims,11000,0,0,0,0,0,0,0,0,0,32998,11000,11000,0.00909091,ok
BBMSInter,11000,1,0,150384688,3837365990,3987750678,241971674,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,1,0,150384688,610595522,760980210,241971674,50227768,190796586,50227768,0,0,121000000,100,ok
BBMSDppStepwise,11000,1,0,150384688,610595522,760980210,241971674,50227768,144226614,119595376,0,0,121000000,100,ok
DijkstraPrims,11000,1,0,0,0,0,0,0,0,0,32998,11000,11000,0.00909091,ok
BBMSInter,11000,2,0,150515856,3285437212,3435953068,241968258,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,2,0,150515856,610415442,760931298,241968258,50121010,193060842,50121010,0,0,121000000,100,ok
BBMSDppStepwise,11000,2,0,150515856,610415442,760931298,241968258,50121010,144260332,119712146,0,0,121000000,100,ok
DijkstraPrims,11000,2,0,0,0,0,0,0,0,0,32998,11000,11000,0.00909091,ok
BBMSInter,11000,3,0,150192972,3323319074,3473512046,241972626,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,3,0,150192972,610831632,761024604,241972626,50274364,192780022,50274364,0,0,121000000,100,ok
BBMSDppStepwise,11000,3,0,150192972,610831632,761024604,241972626,50274364,144239896,119747728,0,0,121000000,100,ok
DijkstraPrims,11000,3,0,0,0,0,0,0,0,0,32998,11000,11000,0.00909091,ok
BBMSInter,11000,4,0,150292772,3170904300,3321197072,241974106,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,4,0,150292772,610751288,761044060,241974106,50222602,192834964,50222602,0,0,121000000,100,ok
BBMSDppStepwise,11000,4,0,150292772,610751288,761044060,241974106,50222602,144363198,119698308,0,0,121000000,100,ok
DijkstraPrims,11000,4,0,0,0,0,0,0,0,0,32998,11000,11000,0.00909091,ok
BBMSDppStepwise,18000,0,0,402054956,1636078536,2038133492,647939746,134672732,387130756,321326442,0,0,324000000,100,ok
DijkstraPrims,18000,0,0,0,0,0,0,0,0,0,53998,18000,18000,0.00555556,ok
BBMSDppStepwise,18000,1,0,402327768,1635689026,2038016794,647955068,134710766,387419614,321498688,0,0,324000000,100,ok
DijkstraPrims,18000,1,0,0,0,0,0,0,0,0,53998,18000,18000,0.00555556,ok
BBMSDppStepwise,18000,2,0,401947076,1636087438,2038034514,647955552,134733792,387137408,321256730,0,0,324000000,100,ok
DijkstraPrims,18000,2,0,0,0,0,0,0,0,0,53998,18000,18000,0.00555556,ok
BBMSDppStepwise,18000,3,0,402203600,1635730376,2037933976,647957954,134774102,387122998,321330976,0,0,324000000,100,ok
DijkstraPrims,18000,3,0,0,0,0,0,0,0,0,53998,18000,18000,0.00555556,ok
BBMSDppStepwise,18000,4,0,402387676,1635633334,2038021010,647953134,134615880,387524786,321504434,0,0,324000000,100,ok
DijkstraPrims,18000,4,0,0,0,0,0,0,0,0,53998,18000,18000,0.00555556,ok
