algorithm,N,sample,frechet_dist,nca_regular_hops,nca_shortcut_hops,total_nca_steps,shortcuts_written,dead_paths_pruned,shortcuts_extended,dead_path_walk_steps,heap_pushes,heap_pops,cells_processed,pct_cells_explored,status
DijkstraPrims,11000,3,1003.09,0,0,0,0,0,0,0,121000000,120996047,120996047,99.9967,ok
BBMSInter,11000,4,1003.29,150278724,3340978544,3491257268,241974509,0,0,0,0,0,121000000,100,ok
BBMSDppInstant,11000,4,1003.29,150278724,610876819,761155543,241974509,50178579,192849327,50178579,0,0,121000000,100,ok
BBMSDppStepwise,11000,4,1003.29,150278724,610876819,761155543,241974509,50178579,144509971,119683798,0,0,121000000,100,ok
DijkstraPrims,11000,4,1003.29,0,0,0,0,0,0,0,121000000,120996414,120996414,99.997,ok
BBMSDppStepwise,18000,0,1008.76,402368978,1635774604,2038143582,647961468,134402192,387805710,321519758,0,0,324000000,100,ok
BBMSDppStepwise,18000,1,993.1,402454326,1635674398,2038128724,647963799,134603407,387570640,321296950,0,0,324000000,100,ok
BBMSDppStepwise,18000,2,994.802,402584080,1635330203,2037914283,647959457,134507802,387445137,321575125,0,0,324000000,100,ok
BBMSDppStepwise,18000,3,1001.57,402632716,1635292858,2037925574,647952236,134420656,387496046,321411600,0,0,324000000,100,ok
BBMSDppStepwise,18000,4,1007.11,402278128,1635896107,2038174235,647957144,134649347,387865027,321465569,0,0,324000000,100,ok
BBMSInter,18000,0,1008.76,402368978,10231710388,10634079366,647961468,0,0,0,0,0,324000000,100,ok
BBMSDppInstant,18000,0,1008.76,402368978,1635774604,2038143582,647961468,134402192,524950182,134402192,0,0,324000000,100,ok
DijkstraPrims,18000,0,1008.76,0,0,0,0,0,0,0,324000000,323998842,323998842,99.9996,ok
