algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSDppStepwise,830,0,0.213602,1008.2,6.73438,150.414,37809,0,0,0,0,2,0.193048,0.020547,6.638e-06,ok,0
DijkstraPrims,830,0,0.1485,1008.2,6.73438,32.1016,9623,0,0,0,0,0,0.138468,0.010042,-9.634e-06,ok,0
BBMSCore,830,0,0.207703,1008.2,6.73438,19.3633,4052,0,0,0,0,1,0.207694,0,9.244e-06,ok,1
BBMSInter,830,0,0.074459,1008.2,6.73438,40.3672,9434,0,0,0,0,0,0.063531,0.010937,-8.973e-06,ok,1
BBMSDppInstant,830,0,0.195872,1008.2,6.73828,155.73,39157,0,0,0,0,0,0.146382,0.0495,-9.78e-06,ok,1
BBMSDppStepwise,830,0,0.217508,1008.2,6.73828,150.539,37809,0,0,0,0,0,0.149796,0.067724,-1.2329e-05,ok,1
DijkstraPrims,830,0,0.151461,1008.2,6.73828,32.1055,9623,0,0,0,0,0,0.151472,0,-1.0702e-05,ok,1
BBMSCore,830,0,0.207825,1008.2,6.73828,19.3789,4052,0,0,0,0,0,0.207836,0,-1.0502e-05,ok,2
BBMSInter,830,0,0.0742901,1008.2,6.73828,40.3672,9434,0,0,0,0,0,0.064745,0.009554,-8.858e-06,ok,2
BBMSDppInstant,830,0,0.194889,1008.2,6.73828,155.723,39157,0,0,0,0,1,0.125959,0.06893,4.13e-07,ok,2
BBMSDppStepwise,830,0,0.214105,1008.2,6.73828,150.527,37809,0,0,0,0,0,0.145315,0.068801,-1.0736e-05,ok,2
DijkstraPrims,830,0,0.148315,1008.2,6.73828,31.9766,9623,0,0,0,0,2,0.138273,0.010028,1.4321e-05,ok,2
BBMSCore,830,1,0.236252,1004.89,6.74219,19.3672,4052,0,0,0,0,1,0.236245,0,7.421e-06,ok,0
BBMSInter,830,1,0.078868,1004.89,6.74219,40.3672,9434,0,0,0,0,1,0.068642,0.01022,6.039e-06,ok,0
BBMSDppInstant,830,1,0.195159,1004.89,6.74219,155.867,39180,0,0,0,0,1,0.143051,0.052107,1.144e-06,ok,0
BBMSDppStepwise,830,1,0.212387,1004.89,6.74219,150.629,37844,0,0,0,0,1,0.181613,0.030756,1.765e-05,ok,0
DijkstraPrims,830,1,0.14516,1004.89,6.74219,32.3164,9667,0,0,0,0,1,0.145155,0,5.431e-06,ok,0
BBMSCore,830,1,0.235131,1004.89,6.74219,19.3789,4052,0,0,0,0,2,0.225202,0.009915,1.443e-05,ok,1
BBMSInter,830,1,0.0788256,1004.89,6.74219,40.375,9434,0,0,0,0,1,0.068606,0.01021,9.619e-06,ok,1
BBMSDppInstant,830,1,0.195342,1004.89,6.74219,155.887,39180,0,0,0,0,1,0.155689,0.039644,8.574e-06,ok,1
BBMSDppStepwise,830,1,0.211906,1004.89,6.74219,150.637,37844,0,0,0,0,3,0.163033,0.048818,5.5257e-05,ok,1
DijkstraPrims,830,1,0.145498,1004.89,6.74219,32.3086,9667,0,0,0,0,1,0.145491,0,7.083e-06,ok,1
BBMSCore,830,1,0.234261,1004.89,6.74219,19.3672,4052,0,0,0,0,1,0.234262,0,-1.361e-06,ok,2
BBMSInter,830,1,0.0778313,1004.89,6.74219,40.3672,9434,0,0,0,0,1,0.059896,0.017931,4.262e-06,ok,2
BBMSDppInstant,830,1,0.194777,1004.89,6.74609,155.887,39180,0,0,0,0,1,0.173967,0.0208,9.624e-06,ok,2
BBMSDppStepwise,830,1,0.212066,1004.89,6.74609,150.648,37844,0,0,0,0,2,0.171099,0.040949,1.752e-05,ok,2
DijkstraPrims,830,1,0.145115,1004.89,6.74609,32.3125,9667,0,0,0,0,1,0.135234,0.009873,7.531e-06,ok,2
