algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
DijkstraPrims,830,0,0.0121593,11.9016,7.07422,7.09375,1124,0,0,0,0,0,0.012167,0,-7.672e-06,ok,0
BBMSCore,830,0,0.183367,11.9016,7.07422,19.3477,4052,0,0,0,0,3,0.173051,0.010295,2.086e-05,ok,1
BBMSInter,830,0,0.069358,11.9016,7.07422,40.3672,9434,0,0,0,0,1,0.059166,0.010188,3.972e-06,ok,1
BBMSDppInstant,830,0,0.200474,11.9016,7.07812,155.938,39217,0,0,0,0,1,0.159957,0.040504,1.3404e-05,ok,1
BBMSDppStepwise,830,0,0.213738,11.9016,7.07812,150.594,37823,0,0,0,0,0,0.15486,0.05889,-1.1763e-05,ok,1
DijkstraPrims,830,0,0.0121099,11.9016,7.07812,7.09375,1124,0,0,0,0,0,0.012127,0,-1.7134e-05,ok,1
BBMSCore,830,0,0.181418,11.9016,7.07812,19.3672,4052,0,0,0,0,2,0.181399,0,1.8834e-05,ok,2
BBMSInter,830,0,0.0696444,11.9016,7.07812,40.3555,9434,0,0,0,0,1,0.049155,0.020478,1.1406e-05,ok,2
BBMSDppInstant,830,0,0.194779,11.9016,7.08203,155.969,39217,0,0,0,0,1,0.175079,0.019686,1.3687e-05,ok,2
BBMSDppStepwise,830,0,0.214467,11.9016,7.08203,150.59,37823,0,0,0,0,1,0.167406,0.047067,-6.168e-06,ok,2
DijkstraPrims,830,0,0.0120775,11.9016,7.08203,7.08203,1124,0,0,0,0,0,0.007107,0.004979,-8.537e-06,ok,2
BBMSCore,830,1,0.212216,15.9591,7.08594,19.3438,4052,0,0,0,0,2,0.212199,0,1.6804e-05,ok,0
BBMSInter,830,1,0.071746,15.9591,7.08594,40.3672,9434,0,0,0,0,1,0.071739,0,7.026e-06,ok,0
BBMSDppInstant,830,1,0.195749,15.9591,7.08594,155.809,39167,0,0,0,0,1,0.174832,0.020905,1.2202e-05,ok,0
BBMSDppStepwise,830,1,0.213118,15.9591,7.08594,150.52,37808,0,0,0,0,0,0.151396,0.061732,-9.537e-06,ok,0
DijkstraPrims,830,1,0.00655248,15.9591,7.08594,7.08594,731,0,0,0,0,0,0.006561,0,-8.521e-06,ok,0
BBMSCore,830,1,0.209243,15.9591,7.08594,19.3633,4052,0,0,0,0,2,0.199131,0.010095,1.7237e-05,ok,1
BBMSInter,830,1,0.0718803,15.9591,7.08594,40.3594,9434,0,0,0,0,3,0.053179,0.018673,2.8278e-05,ok,1
BBMSDppInstant,830,1,0.194593,15.9591,7.08594,155.797,39167,0,0,0,0,1,0.132223,0.06235,1.9885e-05,ok,1
BBMSDppStepwise,830,1,0.214452,15.9591,7.08594,150.52,37808,0,0,0,0,0,0.152294,0.06217,-1.1755e-05,ok,1
DijkstraPrims,830,1,0.00657186,15.9591,7.08594,7.08594,731,0,0,0,0,0,0.006579,0,-7.138e-06,ok,1
BBMSCore,830,1,0.209176,15.9591,7.08594,19.3672,4052,0,0,0,0,1,0.199082,0.010093,1.292e-06,ok,2
BBMSInter,830,1,0.0743208,15.9591,7.08594,40.3672,9434,0,0,0,0,0,0.055038,0.01929,-7.164e-06,ok,2
BBMSDppInstant,830,1,0.196994,15.9591,7.08594,155.734,39167,0,0,0,0,3,0.147003,0.049949,4.1586e-05,ok,2
BBMSDppStepwise,830,1,0.214494,15.9591,7.08594,150.52,37808,0,0,0,0,1,0.165078,0.049413,2.694e-06,ok,2
DijkstraPrims,830,1,0.00651074,15.9591,7.08594,7.08594,731,0,0,0,0,0,0.006518,0,-7.265e-06,ok,2
BBMSCore,830,2,0.192555,14.5913,7.08984,19.3672,4052,0,0,0,0,3,0.192536,0,1.91e-05,ok,0
BBMSInter,830,2,0.0674294,14.5913,7.09375,40.375,9434,0,0,0,0,1,0.057266,0.010148,1.5408e-05,ok,0
BBMSDppInstant,830,2,0.19477,14.5913,7.09375,155.613,39136,0,0,0,0,1,0.184837,0.00992,1.2914e-05,ok,0
BBMSDppStepwise,830,2,0.213949,14.5913,7.09375,150.348,37779,0,0,0,0,0,0.154574,0.059385,-9.647e-06,ok,0
DijkstraPrims,830,2,0.0169596,14.5913,7.09375,8.64453,1814,0,0,0,0,0,0.016968,0,-8.365e-06,ok,0
BBMSCore,830,2,0.193847,14.5913,7.09375,19.3867,4052,0,0,0,0,3,0.18343,0.01039,2.6956e-05,ok,1
BBMSInter,830,2,0.0672301,14.5913,7.09375,40.3672,9434,0,0,0,0,1,0.057107,0.010114,9.081e-06,ok,1
BBMSDppInstant,830,2,0.195212,14.5913,7.09375,155.602,39136,0,0,0,0,2,0.125608,0.069594,9.939e-06,ok,1
BBMSDppStepwise,830,2,0.212662,14.5913,7.09375,150.359,37779,0,0,0,0,0,0.153646,0.059026,-9.935e-06,ok,1
DijkstraPrims,830,2,0.0170934,14.5913,7.09375,8.63672,1814,0,0,0,0,0,0.017102,0,-8.642e-06,ok,1
BBMSCore,830,2,0.194387,14.5913,7.09375,19.3516,4052,0,0,0,0,3,0.194363,0,2.3845e-05,ok,2
BBMSInter,830,2,0.068067,14.5913,7.09375,40.3672,9434,0,0,0,0,1,0.047556,0.0205,1.1007e-05,ok,2
BBMSDppInstant,830,2,0.195618,14.5913,7.09375,155.613,39136,0,0,0,0,1,0.175688,0.019931,-9.35e-07,ok,2
BBMSDppStepwise,830,2,0.211953,14.5913,7.09375,150.344,37779,0,0,0,0,4,0.176453,0.035464,3.6371e-05,ok,2
DijkstraPrims,830,2,0.0169597,14.5913,7.09375,8.60938,1814,0,0,0,0,0,0.016967,0,-7.335e-06,ok,2
BBMSCore,830,3,0.210741,13.1653,7.10156,19.3711,4052,0,0,0,0,4,0.210712,0,2.9337e-05,ok,0
BBMSInter,830,3,0.0724023,13.1653,7.10156,40.3672,9434,0,0,0,0,1,0.05761,0.014787,5.28e-06,ok,0
BBMSDppInstant,830,3,0.197217,13.1653,7.10156,155.812,39187,0,0,0,0,1,0.156862,0.040345,1.0084e-05,ok,0
BBMSDppStepwise,830,3,0.21395,13.1653,7.10156,150.422,37808,0,0,0,0,3,0.154339,0.059574,3.691e-05,ok,0
DijkstraPrims,830,3,0.0890992,13.1653,7.10547,26.5938,8205,0,0,0,0,1,0.078689,0.010402,8.168e-06,ok,0
BBMSCore,830,3,0.20879,13.1653,7.10547,19.375,4052,0,0,0,0,2,0.198626,0.010154,9.952e-06,ok,1
