algorithm,N,sample,runtime_s,frechet_dist,maxrss_before_mb,maxrss_after_mb,minor_faults,major_faults,block_input_ops,block_output_ops,voluntary_ctx_switches,involuntary_ctx_switches,user_time_s,sys_time_s,blocked_time_s,status,repeat
BBMSInter,500,4,0.990325,2000,6.34375,16.8711,3431,0,0,0,0,7,0.980229,0.010037,5.9365e-05,ok,2
BBMSDppInstant,500,4,0.0570604,2000,6.34375,57.375,13820,0,0,0,0,1,0.016738,0.040322,4.19e-07,ok,2
BBMSDppStepwise,500,4,0.0554599,2000,6.34375,57.3711,13820,0,0,0,0,1,0.035822,0.019628,9.947e-06,ok,2
DijkstraPrims,500,4,0.050024,2000,6.34375,15.6445,4253,0,0,0,0,1,0.041109,0.008915,3.7e-08,ok,2
BBMSCore,830,0,2.35502,2000,6.34766,19.2305,4054,0,0,0,0,7,2.35496,0,5.6276e-05,ok,0
BBMSInter,830,0,4.98846,2000,6.34766,40.3672,9436,0,0,0,0,18,4.97828,0.01,0.00017926,ok,0
BBMSDppInstant,830,0,0.192587,2000,6.35156,152.941,38451,0,0,0,0,1,0.136291,0.056298,-1.972e-06,ok,0
BBMSDppStepwise,830,0,0.190455,2000,6.35156,152.938,38451,0,0,0,0,2,0.149903,0.040524,2.7866e-05,ok,0
DijkstraPrims,830,0,0.148633,2000,6.35156,35.2695,11473,0,0,0,0,2,0.138567,0.010045,2.1484e-05,ok,0
BBMSCore,830,0,2.34935,2000,6.35156,19.3672,4054,0,0,0,0,12,2.34918,0,0.000174858,ok,1
BBMSInter,830,0,5.41405,2000,6.35156,40.3672,9436,0,0,0,0,15,5.40361,0.01001,0.000433339,ok,1
BBMSDppInstant,830,0,0.193431,2000,6.35156,152.938,38451,0,0,0,0,3,0.115188,0.078212,3.1305e-05,ok,1
BBMSDppStepwise,830,0,0.193943,2000,6.35156,152.941,38451,0,0,0,0,4,0.135074,0.058813,5.6383e-05,ok,1
DijkstraPrims,830,0,0.161922,2000,6.35156,35.2109,11473,0,0,0,0,1,0.151674,0.010253,-4.638e-06,ok,1
BBMSCore,830,0,2.35742,2000,6.35156,19.375,4054,0,0,0,0,12,2.34724,0.009997,0.000186074,ok,2
BBMSInter,830,0,5.05326,2000,6.35156,40.3672,9436,0,0,0,0,12,5.04322,0.00999,4.9251e-05,ok,2
BBMSDppInstant,830,0,0.19484,2000,6.35156,152.93,38451,0,0,0,0,1,0.153381,0.041464,-5.387e-06,ok,2
BBMSDppStepwise,830,0,0.193558,2000,6.35156,152.926,38451,0,0,0,0,2,0.15237,0.041175,1.2647e-05,ok,2
DijkstraPrims,830,0,0.15279,2000,6.35156,35.2812,11473,0,0,0,0,2,0.13213,0.02064,2.0007e-05,ok,2
BBMSCore,830,1,2.35423,2000,6.35547,19.3516,4054,0,0,0,0,12,2.35412,0,0.000112994,ok,0
BBMSInter,830,1,5.15949,2000,6.35547,40.3672,9436,0,0,0,0,24,5.14912,0.010003,0.000366395,ok,0
BBMSDppInstant,830,1,0.194787,2000,6.35547,152.945,38451,0,0,0,0,4,0.165094,0.02966,3.2531e-05,ok,0
BBMSDppStepwise,830,1,0.193111,2000,6.35547,152.934,38451,0,0,0,0,3,0.183292,0.009793,2.6026e-05,ok,0
DijkstraPrims,830,1,0.147187,2000,6.35938,35.25,11473,0,0,0,0,2,0.127177,0.019996,1.4166e-05,ok,0
BBMSCore,830,1,2.35333,2000,6.35938,19.3672,4054,0,0,0,0,10,2.34305,0.010024,0.00025625,ok,1
BBMSInter,830,1,5.01235,2000,6.35938,40.3672,9436,0,0,0,0,10,5.00228,0.01001,5.7592e-05,ok,1
BBMSDppInstant,830,1,0.194591,2000,6.35938,152.922,38451,0,0,0,0,2,0.135354,0.059217,2.0041e-05,ok,1
BBMSDppStepwise,830,1,0.194411,2000,6.35938,152.898,38451,0,0,0,0,5,0.12534,0.068998,7.2627e-05,ok,1
DijkstraPrims,830,1,0.161011,2000,6.35938,35.2695,11473,0,0,0,0,2,0.160981,0,2.9921e-05,ok,1
BBMSCore,830,1,2.35442,2000,6.35938,19.3555,4054,0,0,0,0,9,2.35439,0,3.1042e-05,ok,2
BBMSInter,830,1,4.85254,2000,6.35938,40.3672,9436,0,0,0,0,15,4.84242,0.00999,0.000130376,ok,2
BBMSDppInstant,830,1,0.193519,2000,6.35938,152.922,38451,0,0,0,0,1,0.152192,0.041319,7.573e-06,ok,2
BBMSDppStepwise,830,1,0.191916,2000,6.35938,152.938,38451,0,0,0,0,2,0.140662,0.051218,3.6144e-05,ok,2
DijkstraPrims,830,1,0.147961,2000,6.35938,35.2578,11473,0,0,0,0,2,0.137899,0.010048,1.3865e-05,ok,2
BBMSCore,830,2,2.35163,2000,6.36328,19.3672,4054,0,0,0,0,13,2.34154,0.010021,7.1904e-05,ok,0
BBMSInter,830,2,4.84674,2000,6.36328,40.375,9436,0,0,0,0,16,4.82663,0.02,0.000105873,ok,0
BBMSDppInstant,830,2,0.193752,2000,6.36328,152.949,38451,0,0,0,0,1,0.162596,0.031156,-6.9e-08,ok,0
BBMSDppStepwise,830,2,0.192026,2000,6.36719,152.922,38451,0,0,0,0,1,0.161161,0.030858,6.649e-06,ok,0
DijkstraPrims,830,2,0.150629,2000,6.36719,35.25,11473,0,0,0,0,1,0.140989,0.009631,8.765e-06,ok,0
BBMSCore,830,2,2.36142,2000,6.36719,19.375,4054,0,0,0,0,10,2.36123,0,0.000186094,ok,1
BBMSInter,830,2,5.17913,2000,6.36719,40.3867,9436,0,0,0,0,24,5.16866,0.010004,0.000467768,ok,1
BBMSDppInstant,830,2,0.19388,2000,6.37109,152.926,38451,0,0,0,0,0,0.144538,0.049351,-8.503e-06,ok,1
BBMSDppStepwise,830,2,0.191466,2000,6.37109,152.938,38451,0,0,0,0,1,0.136441,0.05502,5.302e-06,ok,1
DijkstraPrims,830,2,0.156557,2000,6.37109,35.2812,11473,0,0,0,0,1,0.136546,0.020003,7.696e-06,ok,1
